Z-Piezo Deflection [nm]	Tip Deflection on Retraction [nm]	Tip Deflection on Approach [nm]
-474.804	-40.85147	26.28003
-472.265	-43.33719	26.36575
-469.7259	-45.75434	26.36575
-467.1869	-48.24006	26.33146
-464.6478	-50.64006	26.2286
-462.1088	-53.1772	26.17717
-459.5697	-55.57721	26.09146
-457.0306	-58.04578	26.00574
-454.4916	-60.46293	25.95432
-451.9525	-62.91436	25.90289
-449.4135	-65.40008	25.81717
-446.8744	-67.74865	25.78289
-444.3353	-70.20008	25.7486
-441.7963	-72.60008	25.68003
-439.2572	-75.01723	25.66289
-436.7181	-77.41723	25.61146
-434.1791	-79.85152	25.59431
-431.64	-82.30296	25.56003
-429.101	-84.70296	25.52574
-426.5619	-87.08582	25.49146
-424.0229	-89.41724	25.47432
-421.4838	-91.85153	25.42289
-418.9448	-94.2344	25.44003
-416.4057	-96.56583	25.40574
-413.8666	-98.93154	25.3886
-411.3276	-101.3144	25.37146
-408.7885	-103.663	25.33717
-406.2495	-106.0287	25.35431
-403.7104	-108.3773	25.35431
-401.1713	-110.743	25.33717
-398.6323	-113.1087	25.37146
-396.0932	-115.4058	25.37146
-393.5541	-117.8058	25.35431
-391.0151	-120.0859	25.33717
-388.476	-122.4687	25.35431
-385.937	-124.7316	25.33717
-383.3979	-127.0801	25.37146
-380.8588	-129.3602	25.3886
-378.3198	-131.6744	25.3886
-375.7808	-133.9887	25.42289
-373.2417	-136.303	25.40574
-370.7026	-138.6002	25.42289
-368.1636	-140.863	25.44003
-365.6245	-143.1602	25.45717
-363.0854	-145.4059	25.45717
-360.5464	-147.703	25.47432
-358.0073	-149.9316	25.45717
-355.4683	-152.2459	25.45717
-352.9292	-154.423	25.45717
-350.3901	-156.703	25.47432
-347.8511	-158.9316	25.45717
-345.312	-161.1945	25.45717
-342.7729	-163.423	25.47432
-340.2339	-165.6345	25.45717
-337.6948	-167.8459	25.45717
-335.1558	-170.0916	25.40574
-332.6168	-172.2516	25.3886
-330.0777	-174.5145	25.42289
-327.5386	-176.7088	25.3886
-324.9996	-178.9545	25.37146
-322.4605	-181.0802	25.35431
-319.9214	-183.2916	25.37146
-317.3824	-185.4345	25.33717
-314.8433	-187.6974	25.28574
-312.3043	-189.7888	25.2686
-309.7652	-191.9317	25.25146
-307.2261	-194.0745	25.23431
-304.6871	-196.2688	25.21717
-302.148	-198.4117	25.18289
-299.6089	-200.5031	25.1486
-297.0699	-202.646	25.09717
-294.5308	-204.7888	25.08003
-291.9918	-206.8802	25.04574
-289.4528	-208.9888	24.99431
-286.9137	-211.0631	24.92574
-284.3746	-213.2402	24.87432
-281.8356	-215.3317	24.84003
-279.2965	-217.406	24.75431
-276.7574	-219.4631	24.72003
-274.2184	-221.5545	24.65146
-271.6793	-223.6974	24.61717
-269.1403	-225.686	24.53146
-266.6012	-227.7431	24.49717
-264.0621	-229.8003	24.4286
-261.5231	-231.8746	24.37717
-258.984	-233.8974	24.29146
-256.4449	-235.886	24.24003
-253.9059	-237.9088	24.1886
-251.3668	-239.966	24.13717
-248.8278	-241.9546	24.10288
-246.2888	-243.9774	24.08574
-243.7497	-245.9317	24.00003
-241.2106	-247.9374	23.9486
-238.6716	-249.9431	23.88003
-236.1325	-251.8803	23.8286
-233.5934	-253.886	23.77717
-231.0544	-255.8403	23.64003
-228.5153	-257.8632	23.53717
-225.9763	-259.7489	23.50288
